;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utrikes födda efter län, kommun och födelseland 31 december 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Län;;Kön;Folk-;därav utrikes födda efter födelseland1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kommun;;mängd;Samtliga;I procent;Norden utom;därav;                                            ;                                            ;                                            ;EU28 utom Norden;;;Europa utom EU28 och Norden;;;                                            ;Afrika;                                            ;                                            ;Nord-amerika;Syd-amerika;Asien;                                            ;                                            ;                                            ;                                            ;                                            ;Oceanien;Sovjet-unionen;Okänt;;;;
;;;;;"av folk-
mängden";Sverige;Danmark;Finland;Island;Norge;;Polen;Tyskland;;Bosnien och Hercegovina;Jugo-slavien;Turkiet;;Eritrea;Somalia;;;;Afghan-istan;Irak;Iran;Syrien;Thailand;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Riket;;Båda könen;10 230 185;1 955 569;19,1;235 633;40 011;147 883;5 992;41 747;369 743;92 759;51 140;259 177;59 395;65 124;49 948;219 914;42 300;68 678;40 116;72 467;745 271;51 979;144 035;77 386;185 991;42 394;6 236;5 508;1 504;;;;
;Arvika;Båda könen;26 082;3 226;12,4;894;63;115;7;709;540;69;159;303;70;113;21;266;68;96;53;131;1 027;66;174;94;321;144;4;3;5;;;;
;Arvika;Kvinnor;13 007;1 677;12,9;506;24;75;4;403;252;37;77;156;34;51;10;130;28;53;29;64;532;16;77;41;133;110;2;2;4;;;;
;Arvika;Män;13 075;1 549;11,8;388;39;40;3;306;288;32;82;147;36;62;11;136;40;43;24;67;495;50;97;53;188;34;2;1;1;;;;
;Eda;Båda könen;8 575;2 393;27,9;1 411;42;39;2;1 328;311;57;50;123;4;10;43;91;20;21;18;12;421;17;85;19;114;56;1;3;2;;;;
;Eda;Kvinnor;4 188;1 242;29,7;771;15;20;1;735;140;27;26;57;3;5;16;41;10;13;9;9;212;4;28;9;51;48;-;1;2;;;;
;Eda;Män;4 387;1 151;26,2;640;27;19;1;593;171;30;24;66;1;5;27;50;10;8;9;3;209;13;57;10;63;8;1;2;-;;;;
;Filipstad;Båda könen;10 837;2 082;19,2;324;20;200;9;95;289;28;124;114;1;8;45;443;97;255;13;6;881;109;45;34;490;65;1;10;1;;;;
;Filipstad;Kvinnor;5 278;1 012;19,2;166;10;112;3;41;150;14;65;68;-;2;21;215;43;127;6;3;395;35;18;18;192;55;-;9;-;;;;
;Filipstad;Män;5 559;1 070;19,2;158;10;88;6;54;139;14;59;46;1;6;24;228;54;128;7;3;486;74;27;16;298;10;1;1;1;;;;
;Forshaga;Båda könen;11 518;1 074;9,3;221;26;76;-;119;250;43;45;53;1;18;18;62;19;17;24;31;420;45;21;31;168;30;9;1;3;;;;
;Forshaga;Kvinnor;5 699;527;9,2;110;9;39;-;62;107;23;19;25;1;9;5;35;7;13;15;19;209;19;10;15;74;27;5;1;1;;;;
;Forshaga;Män;5 819;547;9,4;111;17;37;-;57;143;20;26;28;-;9;13;27;12;4;9;12;211;26;11;16;94;3;4;-;2;;;;
;Grums;Båda könen;9 016;1 005;11,1;290;24;120;4;142;186;33;30;63;11;18;9;112;30;21;18;16;316;51;20;17;105;53;-;2;2;;;;
;Grums;Kvinnor;4 466;492;11,0;148;9;64;2;73;75;11;11;30;7;9;3;58;18;9;13;9;159;19;7;8;45;44;-;-;-;;;;
;Grums;Män;4 550;513;11,3;142;15;56;2;69;111;22;19;33;4;9;6;54;12;12;5;7;157;32;13;9;60;9;-;2;2;;;;
;Hagfors;Båda könen;11 698;1 634;14,0;307;31;120;4;152;578;40;179;112;7;11;41;133;49;41;15;8;465;26;36;9;259;39;3;6;7;;;;
;Hagfors;Kvinnor;5 657;783;13,8;155;11;60;-;84;272;25;83;53;4;2;17;58;19;16;9;2;225;5;17;3;113;34;2;4;3;;;;
;Hagfors;Män;6 041;851;14,1;152;20;60;4;68;306;15;96;59;3;9;24;75;30;25;6;6;240;21;19;6;146;5;1;2;4;;;;
;Hammarö;Båda könen;16 483;1 251;7,6;286;23;114;2;147;315;39;47;133;44;30;8;86;18;15;32;41;346;54;41;31;68;53;4;6;2;;;;
;Hammarö;Kvinnor;8 219;608;7,4;157;11;57;1;88;109;19;23;72;22;15;5;44;7;8;19;24;178;15;14;14;25;44;1;3;1;;;;
;Hammarö;Män;8 264;643;7,8;129;12;57;1;59;206;20;24;61;22;15;3;42;11;7;13;17;168;39;27;17;43;9;3;3;1;;;;
;Karlstad;Båda könen;92 497;12 117;13,1;1 625;132;580;36;877;1 835;356;317;1 562;389;318;400;989;138;305;262;360;5 408;467;1 527;646;1 139;350;38;30;8;;;;
;Karlstad;Kvinnor;46 625;6 146;13,2;936;62;353;15;506;921;200;173;813;205;159;173;497;56;164;118;199;2 624;181;688;289;485;265;16;19;3;;;;
;Karlstad;Män;45 872;5 971;13,0;689;70;227;21;371;914;156;144;749;184;159;227;492;82;141;144;161;2 784;286;839;357;654;85;22;11;5;;;;
;Kil;Båda könen;11 962;906;7,6;229;19;79;1;130;173;41;36;52;12;6;12;66;13;22;28;17;335;70;37;26;83;28;4;1;1;;;;
;Kil;Kvinnor;5 929;468;7,9;126;9;43;1;73;87;22;23;22;5;2;2;38;8;14;19;9;164;24;15;11;39;23;2;1;-;;;;
;Kil;Män;6 033;438;7,3;103;10;36;-;57;86;19;13;30;7;4;10;28;5;8;9;8;171;46;22;15;44;5;2;-;1;;;;
;Kristinehamn;Båda könen;24 336;3 424;14,1;621;56;287;14;264;360;69;77;378;63;112;100;282;43;76;21;50;1 699;200;181;135;835;82;4;6;3;;;;
;Kristinehamn;Kvinnor;12 076;1 655;13,7;351;20;169;7;155;184;45;41;181;32;56;36;137;19;32;8;24;764;88;72;65;340;62;-;5;1;;;;
;Kristinehamn;Män;12 260;1 769;14,4;270;36;118;7;109;176;24;36;197;31;56;64;145;24;44;13;26;935;112;109;70;495;20;4;1;2;;;;
;Munkfors;Båda könen;3 789;576;15,2;104;7;21;-;76;198;14;43;28;-;1;6;31;2;12;3;7;204;15;-;2;150;11;-;1;-;;;;
;Munkfors;Kvinnor;1 873;286;15,3;56;2;13;-;41;99;6;24;13;-;-;2;18;1;9;3;2;95;5;-;-;69;9;-;-;-;;;;
;Munkfors;Män;1 916;290;15,1;48;5;8;-;35;99;8;19;15;-;1;4;13;1;3;-;5;109;10;-;2;81;2;-;1;-;;;;
;Storfors;Båda könen;4 055;720;17,8;216;14;171;1;30;146;29;20;39;3;6;3;77;14;40;4;9;228;32;6;21;86;25;-;1;-;;;;
;Storfors;Kvinnor;1 937;358;18,5;99;5;83;-;11;76;13;14;23;1;3;1;40;7;20;1;3;116;15;3;8;43;20;-;-;-;;;;
;Storfors;Män;2 118;362;17,1;117;9;88;1;19;70;16;6;16;2;3;2;37;7;20;3;6;112;17;3;13;43;5;-;1;-;;;;
;Sunne;Båda könen;13 261;1 350;10,2;255;22;52;5;176;331;27;75;107;15;7;38;43;13;3;13;42;554;64;19;15;327;45;2;2;1;;;;
;Sunne;Kvinnor;6 516;674;10,3;146;9;33;3;101;172;17;38;52;7;2;17;17;7;-;7;27;251;16;8;4;134;38;1;1;-;;;;
;Sunne;Män;6 745;676;10,0;109;13;19;2;75;159;10;37;55;8;5;21;26;6;3;6;15;303;48;11;11;193;7;1;1;1;;;;
;Säffle;Båda könen;15 643;2 309;14,8;455;34;73;4;344;300;37;84;183;38;37;49;393;137;115;20;31;916;48;100;12;538;52;4;3;4;;;;
;Säffle;Kvinnor;7 762;1 116;14,4;229;13;41;2;173;139;19;49;88;16;15;24;200;67;60;12;17;423;17;43;4;249;39;3;3;2;;;;
;Säffle;Män;7 881;1 193;15,1;226;21;32;2;171;161;18;35;95;22;22;25;193;70;55;8;14;493;31;57;8;289;13;1;-;2;;;;
;Torsby;Båda könen;11 719;1 502;12,8;465;37;30;1;397;415;56;127;88;7;4;45;109;39;23;18;16;381;55;29;8;179;32;3;4;3;;;;
;Torsby;Kvinnor;5 775;790;13,7;282;13;15;1;253;194;31;63;38;1;1;18;54;17;10;13;10;192;19;16;2;77;26;3;3;1;;;;
;Torsby;Män;5 944;712;12,0;183;24;15;-;144;221;25;64;50;6;3;27;55;22;13;5;6;189;36;13;6;102;6;-;1;2;;;;
;Årjäng;Båda könen;10 011;2 194;21,9;1 094;34;32;5;1 023;333;144;64;160;14;40;40;144;21;21;11;20;427;17;27;18;195;68;-;4;1;;;;
;Årjäng;Kvinnor;4 893;1 103;22,5;585;16;24;2;543;132;46;33;80;7;20;18;61;7;8;7;13;222;3;10;11;88;58;-;3;-;;;;
;Årjäng;Män;5 118;1 091;21,3;509;18;8;3;480;201;98;31;80;7;20;22;83;14;13;4;7;205;14;17;7;107;10;-;1;1;;;;
Örebro län;;Båda könen;302 252;50 033;16,6;6 529;520;4 859;83;1 067;6 036;1 044;1 103;6 871;2 224;1 389;1 575;7 593;1 554;3 434;654;841;21 237;1 705;4 410;1 610;6 901;1 114;113;116;43;;;;
Örebro län;;Kvinnor;150 783;24 877;16,5;3 639;242;2 740;40;617;2 927;593;600;3 480;1 158;664;732;3 743;719;1 784;317;432;10 195;656;2 033;716;3 067;852;45;87;12;;;;
Örebro län;;Män;151 469;25 156;16,6;2 890;278;2 119;43;450;3 109;451;503;3 391;1 066;725;843;3 850;835;1 650;337;409;11 042;1 049;2 377;894;3 834;262;68;29;31;;;;
;Askersund;Båda könen;11 313;975;8,6;184;21;120;1;42;198;28;53;77;19;25;12;60;26;9;21;8;425;35;21;8;248;34;2;-;-;;;;
;Askersund;Kvinnor;5 578;465;8,3;94;10;62;-;22;99;16;28;36;8;8;6;32;18;3;10;3;190;7;7;3;103;28;1;-;-;;;;
;Askersund;Män;5 735;510;8,9;90;11;58;1;20;99;12;25;41;11;17;6;28;8;6;11;5;235;28;14;5;145;6;1;-;-;;;;
;Degerfors;Båda könen;9 665;1 526;15,8;369;37;281;1;50;205;32;41;145;44;54;19;212;132;24;15;25;548;44;27;12;247;81;1;4;2;;;;
;Degerfors;Kvinnor;4 739;769;16,2;191;20;145;1;25;101;19;23;76;21;27;11;110;72;9;4;16;268;11;15;3;106;58;1;2;-;;;;
;Degerfors;Män;4 926;757;15,4;178;17;136;-;25;104;13;18;69;23;27;8;102;60;15;11;9;280;33;12;9;141;23;-;2;2;;;;
;Hallsberg;Båda könen;15 954;2 557;16,0;271;23;206;1;41;404;65;54;256;96;61;18;316;196;26;19;30;1 256;82;229;53;495;107;-;3;2;;;;
;Hallsberg;Kvinnor;7 761;1 223;15,8;138;11;103;-;24;173;33;34;122;48;24;7;158;100;14;11;13;606;35;114;24;215;70;-;2;-;;;;
;Hallsberg;Män;8 193;1 334;16,3;133;12;103;1;17;231;32;20;134;48;37;11;158;96;12;8;17;650;47;115;29;280;37;-;1;2;;;;
;Hällefors;Båda könen;6 983;1 501;21,5;406;14;341;-;51;226;43;69;40;-;7;14;267;74;135;7;5;540;50;36;18;311;7;4;4;2;;;;
;Hällefors;Kvinnor;3 390;709;20,9;207;7;168;-;32;116;20;38;17;-;1;6;129;37;61;3;1;232;18;17;6;126;5;2;2;-;;;;
;Hällefors;Män;3 593;792;22,0;199;7;173;-;19;110;23;31;23;-;6;8;138;37;74;4;4;308;32;19;12;185;2;2;2;2;;;;
;Karlskoga;Båda könen;30 419;4 951;16,3;1 130;71;912;5;142;416;75;103;510;161;115;127;758;179;409;47;68;2 003;184;247;97;700;87;8;7;4;;;;
;Karlskoga;Kvinnor;15 178;2 477;16,3;587;30;479;2;76;218;52;54;251;84;51;56;385;82;215;17;40;967;66;112;43;300;70;2;6;4;;;;
;Karlskoga;Män;15 241;2 474;16,2;543;41;433;3;66;198;23;49;259;77;64;71;373;97;194;30;28;1 036;118;135;54;400;17;6;1;-;;;;
;Kumla;Båda könen;21 640;2 750;12,7;300;30;222;1;47;492;106;67;360;161;56;49;366;70;195;27;46;1 144;157;252;120;253;67;5;7;3;;;;
;Kumla;Kvinnor;10 809;1 374;12,7;182;14;138;1;29;250;53;32;166;80;23;21;179;31;97;13;22;555;63;121;53;114;52;2;5;-;;;;
;Kumla;Män;10 831;1 376;12,7;118;16;84;-;18;242;53;35;194;81;33;28;187;39;98;14;24;589;94;131;67;139;15;3;2;3;;;;
;Laxå;Båda könen;5 637;1 015;18,0;223;22;177;-;24;173;15;68;95;24;30;16;142;70;25;10;2;363;35;19;25;209;22;4;1;2;;;;
;Laxå;Kvinnor;2 730;503;18,4;113;8;87;-;18;91;7;41;54;13;14;10;67;28;11;5;1;169;10;6;9;99;15;2;1;-;;;;
;Laxå;Män;2 907;512;17,6;110;14;90;-;6;82;8;27;41;11;16;6;75;42;14;5;1;194;25;13;16;110;7;2;-;2;;;;
;Lekeberg;Båda könen;8 116;551;6,8;112;20;63;2;27;128;20;22;31;4;5;9;41;5;2;5;16;213;6;11;15;107;39;2;-;3;;;;
;Lekeberg;Kvinnor;3 905;271;6,9;60;7;39;1;13;53;8;9;17;1;4;6;21;1;-;1;9;109;2;5;5;45;30;-;-;1;;;;
;Lekeberg;Män;4 211;280;6,6;52;13;24;1;14;75;12;13;14;3;1;3;20;4;2;4;7;104;4;6;10;62;9;2;-;2;;;;
;Lindesberg;Båda könen;23 575;3 719;15,8;689;49;569;2;69;450;70;85;256;46;61;38;680;142;389;43;36;1 543;111;369;68;568;120;13;5;4;;;;
;Lindesberg;Kvinnor;11 589;1 856;16,0;405;29;335;-;41;195;32;42;122;19;26;16;328;50;206;19;20;754;40;165;28;258;92;8;4;1;;;;
;Lindesberg;Män;11 986;1 863;15,5;284;20;234;2;28;255;38;43;134;27;35;22;352;92;183;24;16;789;71;204;40;310;28;5;1;3;;;;
;Ljusnarsberg;Båda könen;4 846;941;19,4;237;23;174;-;40;176;33;57;57;14;12;8;46;17;12;18;16;384;36;20;9;238;37;4;3;-;;;;
;Ljusnarsberg;Kvinnor;2 346;469;20,0;120;12;93;-;15;85;15;29;28;8;5;2;22;9;6;10;8;196;13;8;3;121;32;-;-;-;;;;
;Ljusnarsberg;Män;2 500;472;18,9;117;11;81;-;25;91;18;28;29;6;7;6;24;8;6;8;8;188;23;12;6;117;5;4;3;-;;;;
;Nora;Båda könen;10 737;1 534;14,3;312;20;237;6;49;232;29;45;80;31;6;6;172;60;32;33;22;675;41;66;38;377;48;4;3;1;;;;
;Nora;Kvinnor;5 398;745;13,8;179;8;136;3;32;104;16;23;47;16;5;1;80;23;18;16;10;306;14;27;16;153;39;1;2;-;;;;
;Nora;Män;5 339;789;14,8;133;12;101;3;17;128;13;22;33;15;1;5;92;37;14;17;12;369;27;39;22;224;9;3;1;1;;;;
;Örebro;Båda könen;153 367;28 013;18,3;2 296;190;1 557;64;485;2 936;528;439;4 964;1 624;957;1 259;4 533;583;2 176;409;567;12 143;924;3 113;1 147;3 148;465;66;79;20;;;;
;Örebro;Kvinnor;77 360;14 016;18,1;1 363;86;955;32;290;1 442;322;247;2 544;860;476;590;2 232;268;1 144;208;289;5 843;377;1 436;523;1 427;361;26;63;6;;;;
;Örebro;Män;76 007;13 997;18,4;933;104;602;32;195;1 494;206;192;2 420;764;481;669;2 301;315;1 032;201;278;6 300;547;1 677;624;1 721;104;40;16;14;;;;
Västmanlands län;;Båda könen;273 929;56 868;20,8;10 982;428;9 526;80;948;6 556;1 374;942;5 640;1 340;1 237;1 493;7 913;1 971;3 334;867;1 805;22 827;1 387;5 920;2 239;7 298;1 305;116;124;38;;;;
Västmanlands län;;Kvinnor;135 888;28 459;20,9;6 112;218;5 369;41;484;3 165;735;496;2 874;689;590;678;3 816;889;1 680;436;1 004;10 914;477;2 695;1 048;3 139;1 034;45;80;13;;;;
Västmanlands län;;Män;138 041;28 409;20,6;4 870;210;4 157;39;464;3 391;639;446;2 766;651;647;815;4 097;1 082;1 654;431;801;11 913;910;3 225;1 191;4 159;271;71;44;25;;;;
;Arboga;Båda könen;14 138;2 138;15,1;390;19;317;4;50;265;39;42;220;75;40;20;260;133;51;95;56;839;40;173;29;386;74;7;4;2;;;;
;Arboga;Kvinnor;6 992;1 090;15,6;219;8;184;1;26;118;19;20;117;45;20;8;133;63;29;47;27;422;16;89;13;174;57;4;2;1;;;;
;Arboga;Män;7 146;1 048;14,7;171;11;133;3;24;147;20;22;103;30;20;12;127;70;22;48;29;417;24;84;16;212;17;3;2;1;;;;
;Fagersta;Båda könen;13 464;3 550;26,4;974;21;905;1;47;335;155;34;238;55;37;54;426;192;146;34;60;1 472;83;87;39;845;44;2;6;3;;;;
;Fagersta;Kvinnor;6 626;1 806;27,3;540;11;504;-;25;158;68;20;123;29;14;23;210;85;82;16;35;715;31;40;11;389;40;2;6;1;;;;
;Fagersta;Män;6 838;1 744;25,5;434;10;401;1;22;177;87;14;115;26;23;31;216;107;64;18;25;757;52;47;28;456;4;-;-;2;;;;
;Hallstahammar;Båda könen;16 186;3 206;19,8;1 025;28;920;5;72;368;41;46;432;149;79;102;503;110;253;30;52;780;106;133;78;269;62;7;8;1;;;;
;Hallstahammar;Kvinnor;8 064;1 561;19,4;542;12;487;3;40;171;26;26;212;73;40;47;226;37;120;14;27;362;30;53;29;122;51;4;3;-;;;;
;Hallstahammar;Män;8 122;1 645;20,3;483;16;433;2;32;197;15;20;220;76;39;55;277;73;133;16;25;418;76;80;49;147;11;3;5;1;;;;
;Kungsör;Båda könen;8 667;1 691;19,5;424;17;369;3;35;186;41;22;96;39;18;8;144;97;4;13;25;795;51;100;17;480;61;2;5;1;;;;
;Kungsör;Kvinnor;4 242;823;19,4;227;7;203;1;16;86;23;14;49;22;6;4;62;40;2;5;17;373;15;49;7;198;49;2;2;-;;;;
;Kungsör;Män;4 425;868;19,6;197;10;166;2;19;100;18;8;47;17;12;4;82;57;2;8;8;422;36;51;10;282;12;-;3;1;;;;
;Köping;Båda könen;26 268;5 649;21,5;1 379;55;1 237;4;83;533;142;73;820;158;318;74;895;164;571;77;127;1 793;105;488;94;690;160;12;8;5;;;;
;Köping;Kvinnor;12 957;2 867;22,1;762;29;695;2;36;253;70;43;418;84;146;26;441;86;283;37;72;873;40;223;46;303;122;5;5;1;;;;
;Köping;Män;13 311;2 782;20,9;617;26;542;2;47;280;72;30;402;74;172;48;454;78;288;40;55;920;65;265;48;387;38;7;3;4;;;;
;Norberg;Båda könen;5 795;899;15,5;249;9;215;2;23;78;27;4;25;1;3;13;230;157;24;10;25;280;52;10;21;124;27;1;-;1;;;;
;Norberg;Kvinnor;2 818;450;16,0;146;5;127;2;12;32;9;1;11;1;-;6;110;75;14;4;16;131;18;3;6;53;23;-;-;-;;;;
;Norberg;Män;2 977;449;15,1;103;4;88;-;11;46;18;3;14;-;3;7;120;82;10;6;9;149;34;7;15;71;4;1;-;1;;;;
;Sala;Båda könen;22 816;3 232;14,2;518;25;435;3;55;353;42;70;357;53;38;183;558;172;150;35;28;1 375;240;222;117;515;95;6;1;1;;;;
;Sala;Kvinnor;11 353;1 586;14,0;288;10;251;-;27;172;25;33;158;28;17;68;271;72;82;15;9;672;97;98;55;234;77;1;-;-;;;;
;Sala;Män;11 463;1 646;14,4;230;15;184;3;28;181;17;37;199;25;21;115;287;100;68;20;19;703;143;124;62;281;18;5;1;1;;;;
;Skinnskatteberg;Båda könen;4 429;784;17,7;393;12;359;1;21;97;31;24;51;10;5;13;71;21;37;9;11;152;30;11;6;46;19;-;-;-;;;;
;Skinnskatteberg;Kvinnor;2 162;382;17,7;203;6;183;-;14;47;15;13;23;5;3;5;31;8;17;6;10;62;3;4;2;16;16;-;-;-;;;;
;Skinnskatteberg;Män;2 267;402;17,7;190;6;176;1;7;50;16;11;28;5;2;8;40;13;20;3;1;90;27;7;4;30;3;-;-;-;;;;
;Surahammar;Båda könen;10 088;2 029;20,1;985;22;928;-;35;289;68;45;129;40;34;7;147;106;6;26;41;398;55;67;26;96;67;10;3;1;;;;
;Surahammar;Kvinnor;4 904;1 011;20,6;500;10;477;-;13;134;41;25;62;17;15;3;78;57;2;11;20;199;16;34;13;37;55;4;2;1;;;;
;Surahammar;Män;5 184;1 018;19,6;485;12;451;-;22;155;27;20;67;23;19;4;69;49;4;15;21;199;39;33;13;59;12;6;1;-;;;;
;Västerås;Båda könen;152 078;33 690;22,2;4 645;220;3 841;57;527;4 052;788;582;3 272;760;665;1 019;4 679;819;2 092;538;1 380;14 943;625;4 629;1 812;3 847;696;69;89;23;;;;
;Västerås;Kvinnor;75 770;16 883;22,3;2 685;120;2 258;32;275;1 994;439;301;1 701;385;329;488;2 254;366;1 049;281;771;7 105;211;2 102;866;1 613;544;23;60;9;;;;
;Västerås;Män;76 308;16 807;22,0;1 960;100;1 583;25;252;2 058;349;281;1 571;375;336;531;2 425;453;1 043;257;609;7 838;414;2 527;946;2 234;152;46;29;14;;;;
Dalarnas län;;Båda könen;287 191;37 163;12,9;6 135;433;4 431;70;1 201;4 887;823;1 069;3 119;383;444;1 267;7 991;2 203;3 977;645;732;13 426;1 332;1 683;828;4 925;1 418;117;67;44;;;;
Dalarnas län;;Kvinnor;141 947;18 549;13,1;3 394;203;2 476;35;680;2 380;461;582;1 521;192;211;530;3 799;956;1 995;349;387;6 614;415;763;340;2 136;1 131;38;48;19;;;;
Dalarnas län;;Män;145 244;18 614;12,8;2 741;230;1 955;35;521;2 507;362;487;1 598;191;233;737;4 192;1 247;1 982;296;345;6 812;917;920;488;2 789;287;79;19;25;;;;
;Avesta;Båda könen;23 323;4 300;18,4;787;26;696;4;61;378;48;62;304;37;30;137;723;507;58;49;47;1 992;151;218;69;1 139;110;3;11;6;;;;
;Avesta;Kvinnor;11 532;2 151;18,7;440;13;387;2;38;192;24;39;150;17;14;62;340;238;33;27;25;966;63;99;36;499;90;-;8;3;;;;
;Avesta;Män;11 791;2 149;18,2;347;13;309;2;23;186;24;23;154;20;16;75;383;269;25;22;22;1 026;88;119;33;640;20;3;3;3;;;;
;Borlänge;Båda könen;52 224;9 419;18,0;1 125;96;892;6;131;615;122;80;923;102;104;556;3 212;419;2 361;96;114;3 293;203;714;196;1 079;323;18;13;10;;;;
;Borlänge;Kvinnor;25 801;4 608;17,9;600;43;478;2;77;273;69;39;444;51;51;245;1 536;180;1 172;47;65;1 624;60;319;76;494;256;6;9;4;;;;
;Borlänge;Män;26 423;4 811;18,2;525;53;414;4;54;342;53;41;479;51;53;311;1 676;239;1 189;49;49;1 669;143;395;120;585;67;12;4;6;;;;
;Falun;Båda könen;58 923;6 287;10,7;860;83;548;29;200;949;175;213;692;106;186;130;1 031;116;496;153;201;2 345;217;283;252;696;244;34;15;7;;;;
;Falun;Kvinnor;29 709;3 223;10,8;477;40;321;14;102;472;97;120;352;53;91;60;517;54;263;84;99;1 196;71;133;111;304;185;12;11;3;;;;
;Falun;Män;29 214;3 064;10,5;383;43;227;15;98;477;78;93;340;53;95;70;514;62;233;69;102;1 149;146;150;141;392;59;22;4;4;;;;
;Gagnef;Båda könen;10 271;761;7,4;226;11;177;-;38;151;15;36;46;4;5;15;69;25;12;21;12;226;33;13;13;57;53;6;3;1;;;;
;Gagnef;Kvinnor;5 012;385;7,7;111;5;85;-;21;78;12;19;24;2;3;5;30;9;7;11;7;121;8;5;6;29;40;1;2;-;;;;
;Gagnef;Män;5 259;376;7,1;115;6;92;-;17;73;3;17;22;2;2;10;39;16;5;10;5;105;25;8;7;28;13;5;1;1;;;;
;Hedemora;Båda könen;15 457;2 275;14,7;509;14;427;9;59;294;27;73;169;27;11;34;396;223;52;25;40;830;83;72;25;442;59;9;2;1;;;;
;Hedemora;Kvinnor;7 586;1 118;14,7;279;4;231;5;39;144;18;38;86;15;6;11;190;104;22;10;21;384;22;38;10;178;50;2;1;1;;;;
;Hedemora;Män;7 871;1 157;14,7;230;10;196;4;20;150;9;35;83;12;5;23;206;119;30;15;19;446;61;34;15;264;9;7;1;-;;;;
;Leksand;Båda könen;15 804;1 473;9,3;257;33;152;5;67;274;37;73;140;34;7;41;130;42;28;45;40;573;86;82;39;170;51;9;3;2;;;;
;Leksand;Kvinnor;7 825;725;9,3;135;18;83;3;31;136;19;40;72;16;3;17;51;15;12;23;18;283;30;39;15;76;42;3;2;2;;;;
;Leksand;Män;7 979;748;9,4;122;15;69;2;36;138;18;33;68;18;4;24;79;27;16;22;22;290;56;43;24;94;9;6;1;-;;;;
;Ludvika;Båda könen;26 946;4 927;18,3;778;56;607;3;112;478;82;92;232;32;46;49;1 384;464;693;79;150;1 797;130;184;88;634;146;14;8;7;;;;
;Ludvika;Kvinnor;13 213;2 435;18,4;432;28;335;2;67;228;42;57;114;16;20;13;647;176;351;49;83;866;40;84;40;271;117;6;6;4;;;;
;Ludvika;Män;13 733;2 492;18,1;346;28;272;1;45;250;40;35;118;16;26;36;737;288;342;30;67;931;90;100;48;363;29;8;2;3;;;;
;Malung-Sälen;Båda könen;10 106;1 146;11,3;255;29;75;6;145;239;60;38;122;5;6;46;175;93;46;22;7;317;48;16;21;100;64;4;1;4;;;;
;Malung-Sälen;Kvinnor;4 870;600;12,3;167;13;53;4;97;116;36;20;51;4;1;14;80;43;24;15;4;165;14;7;5;39;57;1;1;-;;;;
;Malung-Sälen;Män;5 236;546;10,4;88;16;22;2;48;123;24;18;71;1;5;32;95;50;22;7;3;152;34;9;16;61;7;3;-;4;;;;
;Mora;Båda könen;20 390;1 679;8,2;264;25;137;-;102;481;111;122;189;7;27;97;150;62;18;45;41;501;77;32;22;135;105;7;-;1;;;;
;Mora;Kvinnor;10 093;840;8,3;146;12;84;-;50;239;63;68;88;4;12;40;63;26;7;27;22;254;20;14;4;52;82;1;-;-;;;;
;Mora;Män;10 297;839;8,1;118;13;53;-;52;242;48;54;101;3;15;57;87;36;11;18;19;247;57;18;18;83;23;6;-;1;;;;
;Orsa;Båda könen;6 892;855;12,4;89;8;46;-;35;175;23;72;32;4;-;24;224;55;73;21;13;298;28;20;10;132;53;1;1;1;;;;
;Orsa;Kvinnor;3 366;413;12,3;49;4;25;-;20;87;15;37;16;2;-;11;101;17;38;10;4;146;10;7;3;52;41;-;-;-;;;;
;Orsa;Män;3 526;442;12,5;40;4;21;-;15;88;8;35;16;2;-;13;123;38;35;11;9;152;18;13;7;80;12;1;1;1;;;;
;Rättvik;Båda könen;10 907;765;7,0;165;14;94;4;53;228;40;59;54;2;7;18;36;26;-;30;21;227;68;9;31;31;41;3;-;1;;;;
;Rättvik;Kvinnor;5 418;376;6,9;95;10;61;2;22;105;17;30;25;1;3;6;14;12;-;17;11;107;21;3;13;13;32;2;-;-;;;;
;Rättvik;Män;5 489;389;7,1;70;4;33;2;31;123;23;29;29;1;4;12;22;14;-;13;10;120;47;6;18;18;9;1;-;1;;;;
;Smedjebacken;Båda könen;10 897;1 262;11,6;419;9;363;1;46;196;17;32;80;19;10;24;204;69;109;17;19;318;58;30;20;100;57;4;5;-;;;;
;Smedjebacken;Kvinnor;5 323;648;12,2;222;1;197;-;24;102;13;16;42;10;5;10;105;39;51;11;12;149;11;13;4;36;48;1;4;-;;;;
;Smedjebacken;Män;5 574;614;11,0;197;8;166;1;22;94;4;16;38;9;5;14;99;30;58;6;7;169;47;17;16;64;9;3;1;-;;;;
;Säter;Båda könen;11 123;804;7,2;176;11;124;2;39;137;30;20;47;4;3;21;130;43;14;19;11;276;41;5;19;70;50;2;4;2;;;;
;Säter;Kvinnor;5 415;422;7,8;108;3;82;-;23;67;14;9;22;1;1;8;70;20;7;8;8;134;10;1;8;27;36;1;3;1;;;;
;Säter;Män;5 708;382;6,7;68;8;42;2;16;70;16;11;25;3;2;13;60;23;7;11;3;142;31;4;11;43;14;1;1;1;;;;
