;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utrikes födda efter län, kommun och födelseland 31 december 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Län;;Kön;Folk-;därav utrikes födda efter födelseland1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kommun;;mängd;Samtliga;I procent;Norden utom;därav;                                            ;                                            ;                                            ;EU28 utom Norden;;;Europa utom EU28 och Norden;;;                                            ;Afrika;                                            ;                                            ;Nord-amerika;Syd-amerika;Asien;                                            ;                                            ;                                            ;                                            ;                                            ;Oceanien;Sovjet-unionen;Okänt;;;;
;;;;;"av folk-
mängden";Sverige;Danmark;Finland;Island;Norge;;Polen;Tyskland;;Bosnien och Hercegovina;Jugo-slavien;Turkiet;;Eritrea;Somalia;;;;Afghan-istan;Irak;Iran;Syrien;Thailand;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Riket;;Båda könen;10 230 185;1 955 569;19,1;235 633;40 011;147 883;5 992;41 747;369 743;92 759;51 140;259 177;59 395;65 124;49 948;219 914;42 300;68 678;40 116;72 467;745 271;51 979;144 035;77 386;185 991;42 394;6 236;5 508;1 504;;;;
;Tierp;Kvinnor;10 384;1 358;13,1;244;6;224;-;14;207;40;33;92;22;18;19;315;57;123;16;56;424;29;26;15;122;94;3;1;-;;;;
;Tierp;Män;10 743;1 288;12,0;192;12;160;2;18;257;55;24;85;24;12;30;298;69;113;19;46;380;74;26;18;154;17;9;-;2;;;;
;Uppsala;Båda könen;225 164;47 497;21,1;4 315;314;3 030;260;711;8 824;1 152;1 433;4 253;705;539;1 585;5 612;1 096;918;1 454;1 756;20 781;1 443;3 363;3 780;3 795;833;239;226;37;;;;
;Uppsala;Kvinnor;113 807;23 659;20,8;2 665;156;1 990;126;393;4 247;620;790;2 241;362;283;766;2 627;534;458;730;892;10 001;455;1 587;1 827;1 713;632;95;151;10;;;;
;Uppsala;Män;111 357;23 838;21,4;1 650;158;1 040;134;318;4 577;532;643;2 012;343;256;819;2 985;562;460;724;864;10 780;988;1 776;1 953;2 082;201;144;75;27;;;;
;Älvkarleby;Båda könen;9 392;1 438;15,3;341;11;299;4;27;103;30;25;55;6;4;21;209;105;27;24;50;650;46;44;19;277;60;2;3;1;;;;
;Älvkarleby;Kvinnor;4 604;714;15,5;178;2;159;2;15;51;18;13;29;3;1;9;107;48;15;14;23;310;10;18;8;108;50;-;2;-;;;;
;Älvkarleby;Män;4 788;724;15,1;163;9;140;2;12;52;12;12;26;3;3;12;102;57;12;10;27;340;36;26;11;169;10;2;1;1;;;;
;Östhammar;Båda könen;22 048;2 100;9,5;713;19;642;6;46;359;52;60;144;15;21;63;235;74;48;29;66;533;66;44;38;123;142;8;5;8;;;;
;Östhammar;Kvinnor;10 704;1 096;10,2;405;6;372;2;25;150;24;25;70;7;8;27;100;29;22;15;41;308;24;21;13;56;121;2;4;1;;;;
;Östhammar;Män;11 344;1 004;8,9;308;13;270;4;21;209;28;35;74;8;13;36;135;45;26;14;25;225;42;23;25;67;21;6;1;7;;;;
Södermanlands län;;Båda könen;294 695;58 872;20,0;10 100;525;8 657;63;855;7 615;1 486;981;4 685;1 398;1 131;717;9 964;2 258;5 107;770;1 442;24 032;1 294;7 683;1 150;7 863;1 156;106;111;47;;;;
Södermanlands län;;Kvinnor;146 701;29 382;20,0;5 581;232;4 831;26;492;3 687;785;536;2 346;701;559;292;4 866;1 010;2 591;388;787;11 593;445;3 616;513;3 413;935;43;73;18;;;;
Södermanlands län;;Män;147 994;29 490;19,9;4 519;293;3 826;37;363;3 928;701;445;2 339;697;572;425;5 098;1 248;2 516;382;655;12 439;849;4 067;637;4 450;221;63;38;29;;;;
;Eskilstuna;Båda könen;105 924;27 195;25,7;4 613;150;4 186;23;254;2 312;427;243;1 693;433;454;294;4 073;875;1 960;324;504;13 571;497;5 718;667;3 828;358;41;53;11;;;;
;Eskilstuna;Kvinnor;52 762;13 493;25,6;2 517;66;2 290;9;152;1 129;217;136;849;209;229;133;1 983;391;999;170;273;6 513;177;2 718;291;1 696;292;18;36;5;;;;
